chamber,id,town,cover_area,total_area,share_covered
senate,S019,Lebanon,143035464.51325393,688711749.5330038,0.2076855297012753
senate,S019,Ledyard,103619105.93381488,688711749.5330038,0.1504535184771802
senate,S019,Lisbon,43236378.55416119,688711749.5330038,0.0627786277546137
senate,S019,Marlborough,60913153.02791765,688711749.5330038,0.08844506147778249
senate,S019,Norwich,76092737.06763017,688711749.5330038,0.11048560899277024
senate,S019,Sprague,35790769.07512593,688711749.5330038,0.05196770506586341
senate,S020,Bozrah,52473303.01055336,509196576.76662827,0.10305117002898193
senate,S020,East Lyme,92748121.36385024,509196576.76662827,0.18214600332310946
senate,S020,Montville,93199588.64469993,509196576.76662827,0.1830326300237768
senate,S020,Old Lyme,65112783.1758554,509196576.76662827,0.12787356817934278
senate,S020,Salem,77033225.5632019,509196576.76662827,0.15128386379256292
senate,S020,Waterford,90771522.30882645,509196576.76662827,0.1782642037486208
senate,S021,Monroe,47485922.698070526,187330008.6670494,0.2534880718575609
senate,S021,Seymour,12516202.977672577,187330008.6670494,0.06681365717501365
senate,S021,Shelton,82561651.49969792,187330008.6670494,0.44072838135847575
senate,S021,Stratford,44764333.51958561,187330008.6670494,0.23895975790588578
senate,S022,Bridgeport,16668791.523796678,98452178.17542994,0.16930850929569985
senate,S022,Monroe,20529858.229874134,98452178.17542994,0.2085261962746258
senate,S022,Trumbull,60838423.86098862,98452178.17542994,0.6179489879094585
senate,S023,Bridgeport,27725459.23728128,32688597.09615943,0.8481691384834235
senate,S023,Stratford,4448155.237190127,32688597.09615943,0.13607666380129663
senate,S024,Danbury,114411058.7642622,249405257.02203828,0.4587355540551114
senate,S024,New Fairfield,65118599.86776364,249405257.02203828,0.26109553842327204
senate,S024,Sherman,60576582.72027588,249405257.02203828,0.24288414544094045
senate,S025,Darien,22796099.40298152,87488597.22533184,0.26056080593301634
senate,S025,Norwalk,64682014.169439375,87488597.22533184,0.739319365275079
senate,S026,Bethel,34758000.54725003,376844199.77728873,0.09223440500820146
